img,parish_all,parish_rem
LMSLPS150230081,1,1
LMSLPS150230083,1,1
LMSLPS150230085,1,1
LMSLPS150230086,1,1
LMSLPS150230088,1,1
LMSLPS150230090,1,1
LMSLPS150230092,1,1
LMSLPS150230094,0,0
LMSLPS150240043,0,0
LMSLPS150240045,1,0
LMSLPS150240086,0,0
LMSLPS150240087,0,0
LMSLPS150240088,0,0
LMSLPS150240089,0,0
LMSLPS150240090,0,0
LMSLPS150240092,1,1
LMSLPS150240094,1,1
LMSLPS150240096,1,1
LMSLPS150240099,1,1
LMSLPS150240100,1,1
LMSLPS150240104,1,1
LMSLPS150240105,1,1
LMSLPS150240107,1,1
LMSLPS150240109,1,1
LMSLPS150240112,1,1
LMSLPS150240113,1,1
LMSLPS150240115,1,1
LMSLPS150240117,1,1
LMSLPS150240119,1,1
LMSLPS150240121,1,1
LMSLPS150240123,1,1
LMSLPS150240125,1,1
LMSLPS150240127,1,1
LMSLPS150240129,1,1
LMSLPS150240131,1,1
LMSLPS150240133,1,1
LMSLPS150250002,0,0
LMSLPS150250023,1,0
LMSLPS150250026,0,0
LMSLPS150250034,0,0
LMSLPS150250036,0,0
LMSLPS150250044,1,1
LMSLPS150250048,1,1
LMSLPS150250051,1,1
LMSLPS150250053,1,1
LMSLPS150250055,1,1
LMSLPS150250057,1,1
LMSLPS150250059,1,1
LMSLPS150250061,1,1
LMSLPS150250064,1,1
LMSLPS150250065,1,1
LMSLPS150250067,1,1
LMSLPS150250069,1,1
LMSLPS150250071,1,1
LMSLPS150250073,1,1
LMSLPS150250075,1,1
LMSLPS150250077,1,1
LMSLPS150250079,1,1
LMSLPS150250081,1,1
LMSLPS150250083,1,1
LMSLPS150250085,1,1
LMSLPS150260009,0,0
LMSLPS150260073,1,0
LMSLPS150260074,0,0
LMSLPS150260091,0,0
LMSLPS150260110,0,0
LMSLPS150260118,0,0
LMSLPS150260119,0,0
LMSLPS150260120,0,0
LMSLPS150260121,0,0
LMSLPS150260122,0,0
LMSLPS150260123,0,0
LMSLPS150260127,1,1
LMSLPS150260129,1,1
LMSLPS150260131,1,1
LMSLPS150260134,1,1
LMSLPS150260137,1,1
LMSLPS150260138,1,1
LMSLPS150260140,1,1
LMSLPS150260143,1,1
LMSLPS150260144,1,1
LMSLPS150260146,1,1
LMSLPS150260148,1,1
LMSLPS150260150,1,1
LMSLPS150260152,1,1
LMSLPS150260153,1,1
LMSLPS150260155,1,1
LMSLPS150260157,1,1
LMSLPS150260159,1,1
LMSLPS150260161,1,1
LMSLPS150260163,1,1
LMSLPS150260165,1,1
LMSLPS150260167,1,1
LMSLPS150260169,1,1
LMSLPS150260171,1,1
LMSLPS150260173,1,1
LMSLPS150260175,1,1
LMSLPS150260178,1,1
LMSLPS150260180,1,1
LMSLPS150260182,1,1
LMSLPS150260184,1,1
LMSLPS150260187,1,1
LMSLPS150260188,1,1
LMSLPS150260191,1,1
LMSLPS150260192,1,1
LMSLPS150260194,1,1
LMSLPS150260196,1,1
LMSLPS150260198,1,1
LMSLPS150270014,0,0
LMSLPS150270015,0,0
LMSLPS150270053,1,0
LMSLPS150270059,0,0
LMSLPS150270067,0,0
LMSLPS150270068,0,0
LMSLPS150270069,0,0
LMSLPS150270070,0,0
LMSLPS150270071,0,0
LMSLPS150270072,0,0
LMSLPS150270073,1,0
LMSLPS150270074,0,0
LMSLPS150270079,0,0
LMSLPS150270082,0,0
LMSLPS150270088,0,0
LMSLPS150270091,0,0
LMSLPS150270092,0,0
LMSLPS150270097,1,1
LMSLPS150270100,1,1
LMSLPS150270102,1,1
LMSLPS150270104,1,1
LMSLPS150270106,1,1
LMSLPS150270109,1,1
LMSLPS150270111,1,1
LMSLPS150270114,1,1
LMSLPS150270115,1,1
LMSLPS150270117,1,1
LMSLPS150270120,1,1
LMSLPS150270121,1,1
LMSLPS150280024,0,0
LMSLPS150280039,1,0
LMSLPS150280072,0,0
LMSLPS150280074,0,0
LMSLPS150280075,0,0
LMSLPS150280076,0,0
LMSLPS150280078,1,1
LMSLPS150280080,1,1
LMSLPS150280082,1,1
LMSLPS150280084,1,1
LMSLPS150280086,1,1
LMSLPS150280088,1,1
LMSLPS150280090,1,1
LMSLPS150280092,1,1
LMSLPS150280094,1,1
LMSLPS150280096,1,1
LMSLPS150280098,1,1
LMSLPS150280100,1,1
LMSLPS150280102,1,1
LMSLPS150280104,1,1
LMSLPS150280106,1,1
LMSLPS150280108,1,1
LMSLPS150280110,1,1
LMSLPS150280112,1,1
LMSLPS150280114,1,1
LMSLPS150280116,1,1
LMSLPS150280118,1,1
LMSLPS150280120,1,1
LMSLPS150280122,1,1
LMSLPS150280124,1,1
LMSLPS150280126,1,1
LMSLPS150280128,1,1
LMSLPS150280130,1,1
LMSLPS150280132,1,1
LMSLPS150280134,1,1
LMSLPS150280136,1,1
LMSLPS150280138,1,1
